"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TOLERANCE";"VALUE";"VOLTAGERATING";
"1";"";"691312510002";"691312510002";"J3";"WR-TBL Serie 312 - 5.08 mm Open Horizontal PCB Header  , 2 Pins=>Code : Con_TBL_Pluggable_5.08_PCB_THT_Simple_H_691312510002";"";"";"";"";"";"";"";"";
"1";"";"691322310002";"691322310002";"J2";"WR-TBL Serie 322 - 3.81mm Vertical PCB Header , 2 Pins=>Code : Con_TBL_Pluggable_3.81_PCB_THT_Simple_691322310002";"";"";"";"";"";"";"";"";
"2";"";"PINHD-1X4/90";"1X04/90";"JP1, JP4";"PIN HEADER";"";"";"";"";"";"";"";"";
"3";"";"PINHD-1X8";"1X08";"JP10, JP13, JP14";"PIN HEADER";"";"";"";"";"";"";"";"";
"2";"";"PINHD-2X3";"2X03";"JP2, JP3";"PIN HEADER";"";"";"";"";"";"";"";"";
"4";"";"PINHD-2X3/90";"2X03/90";"JP7, JP8, JP9, JP11";"PIN HEADER";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X4";"2X04";"JP12";"PIN HEADER";"";"";"";"";"";"";"";"";
"2";"100UF";"EEE-FK1V101P-CASE-F";"CAPAE830X1050N";"C1, C2";"Aluminum Electrolytic Capacitors,Surface Mount Type";"EEE-FK1V101P";"9695869  ";"82K7638";"CASE-F";"PANASONIC";"±20 %";"100UF";"35V";
"2";"100k";"R-EU_R0805";"R0805";"R1, R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"6";"10k";"R-EU_R0805";"R0805";"R2, R4, R5, R6, R7, R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"2";"STEP-STICK";"STEP-STICK";"STEP-STICK";"U$1, U$2";"";"";"";"";"";"";"";"";"";
