"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";
"1";"";"691313510003";"691313510003";"J3";"WR-TBL Serie 313 - 5.08 mm Close Horizontal PCB Header  , 3 Pins=>Code : Con_TBL_Pluggable_5.08_PCB_THT_Simple_H_691313510003";"";
"2";"";"691322310005";"691322310005";"J1, J2";"WR-TBL Serie 322 - 3.81mm Vertical PCB Header , 5 Pins=>Code : Con_TBL_Pluggable_3.81_PCB_THT_Simple_691322310005";"";
"1";"";"PCA9685";"TSSOP28";"U1";"PCA9685 - 16 Channel 12-Bit I2C PWM Controller";"";
"1";"";"PINHD-1X12";"1X12";"JP2";"PIN HEADER";"";
"3";"";"PINHD-1X8";"1X08";"JP3, JP8, JP9";"PIN HEADER";"";
"1";"";"PINHD-2X4";"2X04";"JP7";"PIN HEADER";"";
"14";"";"R-EU_R0805";"R0805";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14";"RESISTOR, European symbol";"";
"14";"";"SJN";"SJ";"SJ1, SJ2, SJ3, SJ4, SJ5, SJ6, SJ7, SJ8, SJ9, SJ10, SJ11, SJ12, SJ13, SJ14";"SMD solder JUMPER";"";
"8";"MOSFET-NCHANNELFDD8780";"MOSFET-NCHANNELFDD8780";"DPAK";"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q9";"Common NMOSFET Parts";"TRANS-09984";
