"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_ELBE";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"1";"";"691312510002";"691312510002";"J8";"WR-TBL Serie 312 - 5.08 mm Open Horizontal PCB Header  , 2 Pins=>Code : Con_TBL_Pluggable_5.08_PCB_THT_Simple_H_691312510002";"";"";"";"";"";"";"";
"1";"";"691332510012";"691332510012";"J5";"WR-TBL Serie 3325 – 5.08mm Close Horizontal Dual Row PCB Header With Flanges, 12 Pins=>Code : Con_TBL_Pluggable_5.08_PCB_THT_Double_H_691332510012";"";"";"";"";"";"";"";
"8";"";"696101000002";"696101000002";"J1, J2, J3, J4, J6, J7, J9, J10";"WR-FSH PTF/15 FUSEHOLDER BLOCKS - PCB - CLIP COVER - THT";"";"";"";"";"";"";"";
"5";"";"C-EUC0805";"C0805";"C3, C4, C5, C6, C7";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"2";"";"CPOL-EUE5-10.5";"E5-10,5";"C1, C2";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"1";"";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"";"1667008";"unknown";"";"";
"2";"";"JP2E";"JP2";"JP1, JP2";"JUMPER";"";"";"";"";"";"";"";
"1";"";"KIM-055L";"KIM-055L";"MOD1";"5V 5amp DC DC module. IMPORANT: Add low ESR input & output capacitors. V+OUT1 & V+OUT2 internally connected.";"";"";"";"";"";"";"";
"8";"";"LED3MM";"LED3MM";"LED1, LED2, LED3, LED5, LED6, LED7, LED8, LED9";"LED";"";"";"";"";"";"";"";
"1";"";"MEBP_8-8G";"MEBP";"CON2";"Reichelt RJ45 geschirmt MEBP 8-8G";"";"";"";"";"";"";"";
"1";"";"PINHD-2X4";"2X04";"JP4";"PIN HEADER";"";"";"";"";"";"";"";
"27";"";"R-EU_R0805";"R0805";"R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"1";"10k";"R-EU_R0603";"R0603";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";
"2";"61400826021";"61400826021";"61400826021";"K2, K3";"WR-COM Horizontal Dual Stacked USB Type A=>Code : Con_I-O_COM_USB-2.0_A_61400826021";"";"";"";"";"";"";"";
"1";"615016240521";"615016240521";"615016240521";"K4";"WR-MJ Horizontal Shielded Dual Stacked Port with EMI Panel Finger 8P8C Modular Jack Tab Up & Down, 16 Pins";"";"";"";"";"";"";"";
"1";"615064243321";"615064243321";"615064243321";"K1";"WR-MJ Horizontal Shielded 2 x 4 Stacked Port with EMI Panel Finger 8P8C Modular Jack Tab Up & Down, 64 Pins=>Code : Con-I-O_MJ-H_Shielded_Up-Down_615064243321";"";"";"";"";"";"";"";
"1";"ARDUINO_PRO_MINI";"ARDUINO_PRO_MINI";"ARDUINO_PRO_MINI";"U$2";"";"";"";"";"";"";"";"";
"1";"DS18B20";"DS18B20";"TO92-";"IC2";"Programmable Resolution Digital Thermometer";"";"";"";"";"";"";"";
"7";"ES2D";"ES2D";"SMB";"D1, D2, D3, D8, D9, D10, D11";"DIODE";"";"ES2D";"01.41.0013.0 ";"1625037";"";"";"Multicomp";
"1";"MAX481CSA";"MAX481CSA";"SO08";"IC3";"RS485 TRANSEIVER";"MAXIM";"MAX481CSA";"";"unknown";"90C3817";"";"";
"1";"MCP2515-I/SO";"MCP2515-I/SO";"SOIC127P1034X264-18N";"U$1";"CAN Controller";"";"MCP2515-I/SO";"";"1292239";"29H7136";"SOIC-18";"Microchip";
"1";"MCP2551";"MCP2551";"SO-8";"IC1";"CAN Transceiver";"";"";"";"";"";"";"";
